sys_id,shelfmark,lib,catalog_title,work_id,cat,genre,author,work,mesirah,pages,p_test,p_part,p_cit,letters,best_cov,best_density,cls,tier
990051568080205171,Cambridge University Library Ms. T-S NS 192.110,CUL,,M:Ytext599031,Maagarim,פיוט ותפילה,מחבר לא ידוע,מקדושת היום במוסף למועדים,,1,0,0,1,114,0.149,0.313,citation,
990001577660205171,Ms. EVR II B 1184,RNL,"נביאים (יהושע, קטעים).",J:49-ראבש-יהושע-פירוש,JA,ערבית יהודית,,"ראב""ש, יהושע פירוש",,1,0,1,0,114,0.319,0.2982,partial,
990001566240205171,Ms. EVR II B 85,RNL,כתובים.,M:Ytext656000,Maagarim,ספרות הקראים,מחבר לא ידוע,סדר תפילה קראי,"Cambridge, University Library, T-S Collection, Misc. 35, 85",1,0,0,1,114,0.091,0.3445,citation,
990001566410205171,Ms. EVR II B 107,RNL,"תורה (בראשית-ויקרא, דברים, קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",M:Ytext90012,Yerushalmi,תלמוד ומדרש,מחבר לא ידוע,"תלמוד ירושלמי, שבת",,1,0,1,0,114,0.178,0.3478,partial,
990001568140205171,Ms. EVR II B 291,RNL,"תנ""ך (קטעים).",M:Ytext795006,Maagarim,פיוט ותפילה,רב סעדיה גאון,תפילות,,1,0,0,1,114,0.038,0.3158,citation,
990051535810205171,Cambridge University Library Ms. T-S NS 157.150,CUL,פיוט;תפילה וברכות;תפילות קבע. ; Common Prayers: Musaf Rosh ha-Shanah ; תפילות קבע: מוסף ראש השנה,M:Ytext599010,Maagarim,פיוט ותפילה,מחבר לא ידוע,ברכות חתימה לתקיעות,,1,0,1,0,114,0.254,0.3333,partial,
990001600820205171,Ms. EVR ARAB II 819,RNL,אלמקדמאת.,M:Ytext903004,Maagarim,פיוט ותפילה,יניי,"קדושתות לשבתות השנה, במדבר",,1,0,1,0,114,0.176,0.3475,partial,
990000952350205171,Ms. EVR II B 123,RNL,"תורה (בראשית-ויקרא) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",M:Ytext133026,Maagarim,שירת ספרד,יצחק אבי זרחיה הלוי,ירח למועדים בעשותך בתרץ יפעת מעון ותכונת ערץ,,1,0,1,0,114,0.166,0.3246,partial,
990000952350205171,Ms. EVR II B 123,RNL,"תורה (בראשית-ויקרא) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",M:Ytext572002,Maagarim,פיוט ותפילה,מחבר לא ידוע,"הגדה של פסח, חלק ב (מתחילה עובדי עבודה זרה היו אבותינו)","Oxford, Bodleian Library, d.51 (2742), 45-48",1,0,1,0,114,0.166,0.307,partial,new?
990000952350205171,Ms. EVR II B 123,RNL,"תורה (בראשית-ויקרא) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",M:Ytext270003,Maagarim,ספרות רבנית,משה בן מיימון (רמב״ם),"משנה תורה, ספר זמנים",,1,0,1,0,114,0.166,0.3333,partial,
990000953720205171,Ms. EVR II B 35,RNL,"נביאים (מלכים-ירמיה) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",M:Ytext80024,Bavli,תלמוד ומדרש,מחבר לא ידוע,"תלמוד בבלי, יבמות",,1,0,0,1,114,0.096,0.3359,citation,
990053779650205171,Gaster Printed series 39,Manchester,,M:Ytext280001,Maagarim,ספרות התרגומים מערבית,יהודה אבן תיבון,"ספר חובות הלבבות לבחיי אבן פקודה, תרגום",,1,0,1,0,114,0.209,0.3333,partial,
990001591890205171,Ms. EVR IV 62,RNL,תפלות.,M:Ytext599104,Maagarim,פיוט ותפילה,מחבר לא ידוע,בקשה למוצאי שבת,,1,0,0,1,114,0.084,0.3333,citation,
990001566010205171,Ms. EVR II B 28,RNL,נביאים (קטעים).,M:Ytext251031,Maagarim,שירת ספרד,יצחק אבן גיאת,אל אל אשא דעי ולמקום עדיו עמדו נשאל ושואל,"Nimes, Bibliotheque Seguier Municipale, 11",1,0,0,1,114,0.114,0.2522,citation,
990001566010205171,Ms. EVR II B 28,RNL,נביאים (קטעים).,M:Ytext528000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,"קטעי מדרש, דברים (גינצבורג 139)",,1,0,0,1,114,0.114,0.2435,citation,
990001566010205171,Ms. EVR II B 28,RNL,נביאים (קטעים).,M:Ytext975003,Maagarim,פיוט ותפילה,שלמה סולימן,"יוצרות לשבתות השנה, ויקרא",,1,0,0,1,114,0.114,0.2348,citation,
990051142700205171,Cambridge University Library Ms. T-S A 41.57,CUL,מקרא [טקסט]. ; Bible: I Chronicles 22:6 – 27:2 ; מקרא: דברי הימים א כב:ו – כז:ב,M:Ytext825000,Maagarim,ספרות הגאונים,האיי גאון בר׳ שרירא,פתרון תורה,,1,0,0,1,114,0.139,0.2696,citation,
990051394400205171,Cambridge University Library Ms. T-S NS 25.275,CUL,,M:Ytext71008,Maagarim,פיוט ותפילה,מחבר לא ידוע,ברכת המזון,,1,0,0,1,114,0.055,0.3246,citation,
990001570130205171,Ms. EVR II B 467,RNL,תורה (קטעים).,M:Ytext773000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,תנחומא,,1,0,1,0,114,0.234,0.3391,partial,
990001454970205171,Ms. EVR II A 2012,RNL,סדור מנהג קראים (קטעים).,M:Ytext656000,Maagarim,ספרות הקראים,מחבר לא ידוע,סדר תפילה קראי,"Cambridge, University Library, T-S Collection, Misc. 35, 85",1,0,0,1,114,0.111,0.3475,citation,
990000989630205171,Ms. EVR II B 67,RNL,"תורה : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",M:Ytext590472,Maagarim,פיוט ותפילה,מחבר לא ידוע,ברהמ״ז לשבת,,1,0,1,0,114,0.158,0.3445,partial,
990000989630205171,Ms. EVR II B 67,RNL,"תורה : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",M:Ytext952001,Maagarim,פיוט ותפילה,רב סעדיה גאון,שבעתות גשם לשמיני עצרת,"New York, Jewish Theological Seminary (JTS), ENA, 2963, 3-4",1,0,1,0,114,0.158,0.2783,partial,new?
990001568110205171,Ms. EVR II B 288,RNL,כתובים (קטעים).,M:Ytext275001,Maagarim,ספרות רבנית,משה בן נחמן (רמב״ן),"פירוש לתורה, בראשית","London, British Library, 208",1,0,1,0,114,0.162,0.2719,partial,new?
990000991200205171,Ms. EVR II B 83,RNL,"נביאים וכתובים : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",M:Ytext795006,Maagarim,פיוט ותפילה,רב סעדיה גאון,תפילות,,1,0,0,1,114,0.082,0.3158,citation,
990000991290205171,Ms. EVR II B 36,RNL,"תורה : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",M:Ytext590472,Maagarim,פיוט ותפילה,מחבר לא ידוע,ברהמ״ז לשבת,,1,0,0,1,114,0.147,0.3445,citation,
990000991290205171,Ms. EVR II B 36,RNL,"תורה : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",M:Ytext952001,Maagarim,פיוט ותפילה,רב סעדיה גאון,שבעתות גשם לשמיני עצרת,"New York, Jewish Theological Seminary (JTS), ENA, 2963, 3-4",1,0,0,1,114,0.147,0.2957,citation,
990051136780205171,Cambridge University Library Ms. T-S A 31.56,CUL,מקרא;מקרא [טקסט];פיוט;תפילה וברכות;תפילות קבע. ; Bible: Ezechiel 16:58 – 63; Psalms 89:53; Ezechiel 16:58 – 63 ; מקרא: יחזקאל טז:נח – סג; תהילים פט:נג; יחזקאל טז:נח – סג,M:Ytext665000,Maagarim,ספרות הקראים,מתרגם לא ידוע,"ספר מצוות ללוי בן יפת הלוי, תרגום",,1,0,1,0,114,0.197,0.3158,partial,
990051269540205171,Cambridge University Library Ms. T-S Ar. 24.59,CUL,פרשנות מקרא. ; Biblical Exegesis: Song of Songs 2:4; 6:10; Zechariah 2:1; 6:2 – 3 ; פרשנות מקרא: שיר השירים ב:ד; ו:י; זכריה ב:א; ו:ב – ג,M:Ytext1000,Bible,-מקרא,מחבר לא ידוע,מקרא,,1,0,1,0,114,0.169,0.307,partial,
990001005010205171,Ms. EVR II B 61,RNL,נביאים אחרונים.,M:Ytext795006,Maagarim,פיוט ותפילה,רב סעדיה גאון,תפילות,,1,0,1,0,114,0.203,0.3246,partial,
990001561540205171,Ms. EVR ARAB I 4428,RNL,פרוש התורה ליוסף אבן כוגך (בראשית).,J:52-ראבש-שמואל-ב-פירוש,JA,ערבית יהודית,,"ראב""ש, שמואל ב פירוש",,1,0,0,1,114,0.125,0.3246,citation,
990001455070205171,Ms. EVR II A 2022,RNL,תפלות מנהג קראים (קטעים).,M:Ytext16000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,סדר אליהו רבה,,1,0,1,0,114,0.209,0.3246,partial,
990051405360205171,Cambridge University Library Ms. T-S NS 28.338,CUL,,M:Ytext80023,Bavli,תלמוד ומדרש,מחבר לא ידוע,"תלמוד בבלי, חגיגה",,1,0,0,1,114,0.052,0.3421,citation,
990001446280205171,Ms. EVR II A 1162,RNL,פיוטים.,M:Ytext592010,Maagarim,פיוט ותפילה,מחבר לא ידוע,תפילה על הנימול אחר המילה,,1,0,1,0,114,0.188,0.3391,partial,
990051432810205171,Cambridge University Library Ms. T-S NS 62.3,CUL,מקרא;מקרא [טקסט]. ; Bible: Ezechiel 39:20 – 40:15 ; מקרא: יחזקאל לט:כ – מ:טו,M:Ytext19000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,סדר עולם רבה,,1,0,1,0,114,0.404,0.3267,partial,
990001444970205171,Ms. EVR II A 1046,RNL,סדור מנהג קראים (קטעים).,M:Ytext590275,Maagarim,פיוט ותפילה,מחבר לא ידוע,סליחה,,1,0,0,1,114,0.137,0.3277,citation,
990001562990205171,Ms. EVR ARAB I 4605,RNL,פרוש התורה (בראשית א-ד).,M:Ytext608000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,מסכת סופרים,,1,0,0,1,114,0.046,0.3421,citation,
