cluster,sys_id,library,title
1314,990051130770205171,CUL,מקרא [טקסט]. ; Bible: Leviticus 14:6 – 36 ; מקרא: ויקרא יד:ו – לו
1320,990001577420205171,RNL,נביאים (קטעים).
1320,990051433580205171,CUL,מקרא;מקרא [טקסט]. ; Bible: Ezechiel 44:16 – 30; 48:8 – 20 ; מקרא: יחזקאל מד:טז – ל; מח:ח – כ
1331,990001578840205171,RNL,"כתובים (תהלים ודברי הימים, קטעים)."
1331,990053398140205171,Oxford,מקרא [טקסט]. ; Bible: Psalms 109:7 – 115 ; מקרא: תהילים קט:ז – קטו
1338,990001579390205171,RNL,"נביאים (שמואל, ישעיה, קטעים)."
1338,990052317970205171,CUL,
1353,990001583370205171,RNL,מסורה.
1353,990001663670205171,RNL,חבור במסורה.
1378,990001587860205171,RNL,הפטרות (קטע).
1378,990038862970205171,Geneva,הפטרות (בשלח-יתרו).
1379,990001588130205171,RNL,הפטרות (קטע).
1379,990051543440205171,CUL,מקרא;מקרא [טקסט]. ; Bible: Ezechiel 34:1 – 10; 34:23 – 27; Hosea 2:1 – 22 ; מקרא: יחזקאל לד:א – י; לד:כג – כז; הושע ב:א – כב
1382,990001588260205171,RNL,תורה (שמות).
1382,990051666510205171,CUL,מקרא;מקרא [טקסט]. ; Bible: Exodus 21:20 – 35 ; מקרא: שמות כא:כ – לה
1393,990001589500205171,RNL,"תורה (בראשית, קטעים)."
1393,990051145120205171,CUL,מקרא [טקסט];תרגום אונקלוס. ; Targum Onqelos: Genesis 14:9 – 17:1 ; תרגום אונקלוס: בראשית יד:ט – יז:א
1394,990001589520205171,RNL,כתובים (שיר השירים וקהלת).
1394,990053179070205171,JTS,מקרא [טקסט]. ; שיר השירים א:ו עם תרגום ארמי
1399,990001590720205171,RNL,"תורה (דברים, קטעים)."
1399,990053949550205171,Strasbourg,מקרא [טקסט];תפסיר ערבי;תרגום אונקלוס.
1401,990001590740205171,RNL,תרגום ופרוש ערבי לכתובים (נחמיה).
1401,990001599400205171,RNL,"פרוש כתובים ליפת בן עלי (עזרא, קטע)."
1421,990001593530205171,RNL,קצת אברהים.
1421,990053537460205171,BL,סיפורת וספרות יפה. ; Stories and Belles Lettres
1422,990001593580205171,RNL,תפלות.
1422,990001611420205171,RNL,שיר על נביאי המקרא.
1424,990001594000205171,RNL,פרוש כתובים (קהלת).
1424,990001598340205171,RNL,קבץ בפילוסופיה.
1434,990001595790205171,RNL,חבור בדקדוק עברי (קטע).
1434,990051282950205171,CUL,חכמת הלשון;כתאב אלתנקיט. ; Judah Hayyu js Kitab al-tanqi t
1435,990001595810205171,RNL,אלאפעאל דואת חרוף אללין (קטע).
1435,990053592830205171,JTS,דקדוק;כתאב אלאפעאל ד'ואת חרוף אללין. ; ספר דקדוק ערבי-יהודי הגהות בגליון
1462,990001599580205171,RNL,פרוש נביאים (ישעיה).
1462,990051315830205171,CUL,"דרשות;כתאב אלאסתצלאח;פרשנות מקרא. ; Derashot ; סעדיה בן יוסף גאון, כתאב אלאסתצלאח: ישעיהו כט:יח – כא"
1475,990001600790205171,RNL,אלאסבאב.
1475,990001621770205171,RNL,חבור ברפואה (קטע).
1476,990001600990205171,RNL,אלמג'ני פי תדביר אלאמראץ'.
1476,990051313190205171,CUL,חכמת הנסתר;רפואה. ; Treatment of overdose and poisoning
1477,990001601010205171,RNL,תרגום ערבי לכתובים (אסתר).
1477,990001612280205171,RNL,ספור על אסתר.
1479,990001601160205171,RNL,שירים על משה רבנו.
1479,990001618450205171,RNL,שבח לאל (קטע).
1486,990001602680205171,RNL,אלמקדמאת.
