cluster,sys_id,library,title
3,990000857670205171,RNL,ספר המצוות ללוי בן יפת (קטעים).
3,990000857680205171,RNL,כתאב אלאסתבצאר (קטעים).
3,990000857700205171,RNL,כתאב אלאסתבצאר (קטע).
3,990000857720205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000857730205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000859250205171,RNL,ספר המבחר (קטעים).
3,990000859420205171,RNL,ספר השרשים (קטעים).
3,990000859450205171,RNL,ספר השרשים (קטעים).
3,990000859460205171,RNL,אגרת אל קראי מצרים : ; בענין מחלוקת על קדוש החדש.
3,990000859470205171,RNL,מקמה (שניה).
3,990000859730205171,RNL,ספר המבחר : ; פרוש התורה.
3,990000859850205171,RNL,כתאב אלאנואר ואלמראקב (קטע) : ; על ענין יום כפור.
3,990000859920205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000859930205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000859950205171,RNL,כתאב אלאנואר ואלמראקב.
3,990000859960205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000860000205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000860010205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000860030205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000860120205171,RNL,ספר המצוות ללוי בן יפת (קטע).
3,990000860130205171,RNL,ספר המצוות ללוי בן יפת (קטע).
3,990000860140205171,RNL,ספר המצוות ללוי בן יפת (קטע).
3,990000861920205171,RNL,קובץ.
3,990000862170205171,RNL,אלמנצורי (קטעים).
3,990000862260205171,RNL,תיאולוגיה.
3,990000862290205171,RNL,אלכימיה (קטע בערבית).
3,990000862300205171,RNL,אלכימיה (קטע בערבית).
3,990000864980205171,RNL,דרשות על התורה (בראשית-שמות).
3,990000865090205171,RNL,קובץ קראי בהלכות שחיטה.
3,990000865120205171,RNL,קובץ.
3,990000865490205171,RNL,ספר המצוות ליפת בן עלי : ; על נר שבת.
3,990000865500205171,RNL,ספר המצוות ללוי בן יפת : ; על נר שבת.
3,990000865510205171,RNL,ספר המצוות ליפת בן עלי : ; ויכוח על הלוח.
3,990000865520205171,RNL,"ספר המצוות ליפת בן עלי : ; ויכוח על הלוח, פולמוס עם רס""ג, אביב."
3,990000865530205171,RNL,"ספר המצוות ליפת בן עלי : ; על עניני הלוח, פולמוס עם רס""ג, אביב."
3,990000865620205171,RNL,כתאב אלאנואר ואלמראקב (קטע).
3,990000865810205171,RNL,ספר המצוות ליפת אבן צגיר.
3,990000865830205171,RNL,ספר המצוות ליפת אבן צגיר.
3,990000865930205171,RNL,מכתצר כתאב אלאנואר.
3,990000866150205171,RNL,כתאב אלמרשד.
3,990000866180205171,RNL,אלמדכ'ל אלי עלם אלמשנה ואלתלמוד.
3,990000868160205171,RNL,קובץ בהלכה קראית.
3,990000868190205171,RNL,ספר תשובה (קטע).
3,990000868240205171,RNL,כתאב אלאנואר ואלמראקב (קטע).
3,990000868390205171,RNL,נקץ' עלי שמואל בן חפני (קטע).
3,990000868410205171,RNL,מקאלה פי אלדביחה (קטע).
3,990000868420205171,RNL,מקאלה פי אלדביחה (קטעים).
3,990000868440205171,RNL,מקאלה פי אלדביחה.
3,990000868470205171,RNL,מכתצר כתאב אלאנואר.
3,990000868480205171,RNL,מכתצר כתאב אלאנואר.
3,990000868670205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000868690205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000868720205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000868730205171,RNL,ספר המצוות ליפת בן עלי (קטעים).
3,990000868770205171,RNL,ספר המצוות ליפת אבן צגיר.
3,990000868780205171,RNL,ספר המצוות ללוי בן יפת.
3,990000868790205171,RNL,ספר המצוות ליפת אבן צגיר.
3,990000868810205171,RNL,מקאלה פי אלדביחה.
3,990000868820205171,RNL,מקאלה פי אלדביחה.
3,990000868830205171,RNL,מקאלה פי אלדביחה (קטע).
3,990000868850205171,RNL,גן עדן (הלכות שחיטה).
3,990000869070205171,RNL,דרשות על התורה (קטע) : ; מאמצע פרשת כי תשא עד אמצע ויקהל פקודי.
3,990000869080205171,RNL,דרשות.
3,990000869090205171,RNL,"פרוש נביאים לרד""ק (עובדיה א:א-א:יט, מיכה ג:ה-ג:יא, ה:ג-ה:ו)."
3,990000869130205171,RNL,גן עדן (הלכות שחיטה).
3,990000869230205171,RNL,"פרוש נביאים לרד""ק (ישעיה)."
3,990000869250205171,RNL,קמיע.
3,990000869270205171,RNL,חשבון המזלות.
3,990000869280205171,RNL,פרוש כתובים ליונה גירונדי (משלי א:א-טז:ח).
3,990000869400205171,RNL,"פרוש התורה לרש""י (שמות יט:יז-כ:ב; ויקרא יט:א-במדבר יא:כו)."
3,990000869410205171,RNL,גן עדן (הלכות שחיטה).
3,990000869440205171,RNL,"פרוש נביאים לרד""ק (ישעיה)."
3,990000869480205171,RNL,"השערים (שער מאמרי רשב""י) חלקים."
3,990000870640205171,RNL,כונות התפלה (קטע).
3,990000870830205171,RNL,ספר היסודות ליצחק הישראלי (קטע).
3,990000871090205171,RNL,כתאב אלאנואר ואלמראקב.
3,990000871130205171,RNL,ספר המצוות ליפת אבן צגיר.
3,990000871150205171,RNL,כתאב אלאנואר ואלמראקב (קטע).
3,990000871170205171,RNL,ספר המצוות ליפת אבן צגיר (קטעים).
3,990000872270205171,RNL,תחכמוני.
3,990000872310205171,RNL,ספר הבהיר (לקוטים).
3,990000872330205171,RNL,"משנה תורה (ספר אהבה, קטעים)."
3,990000872340205171,RNL,"זהר (ספר שמות, קטע)."
3,990000872350205171,RNL,תחכמוני (קטע).
3,990000872960205171,RNL,כתאב אלאנואר ואלמראקב.
3,990000872970205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000872990205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000873060205171,RNL,כתאב אלאנואר ואלמראקב (קטע).
3,990000873070205171,RNL,כתאב אלאנואר ואלמראקב (קטע).
3,990000873080205171,RNL,ספר המצוות ליפת אבן צגיר (קטע).
3,990000873110205171,RNL,ספר תשובה.
3,990000875450205171,RNL,חבור במוסר.
3,990000875470205171,RNL,חבור באלכימיה בערבית (קטע).
3,990000875480205171,RNL,דרשה בערבית על פרשת בראשית (קטע).
