system_number,oxford_part_id,call_numbers,library_code,,,,titles_non_placeholder
990001545060205171,,Yevr.-Arab. I 2679,RNL,,,,אלמרשד אלכאפי
990001545080205171,,Yevr.-Arab. I 2681,RNL,,,,אלמרשד אלכאפי
990001545890205171,,Yevr.-Arab. I 2758,RNL,,,,אלמרשד אלכאפי
990001546180205171,,Yevr.-Arab. I 2764,RNL,,,,
990001547030205171,,Yevr.-Arab. I 2846,RNL,,,,אלמרשד אלכאפי
990001547120205171,,Yevr.-Arab. I 2853,RNL,,,,אלמרשד אלכאפי
990001548470205171,,Yevr.-Arab. I 2986,RNL,,,,יוסיפון
990001561480205171,,Yevr.-Arab. I 4422,RNL,,,,
990001562890205171,,Yevr.-Arab. I 4595,RNL,,,,
990001565730205171,,Yevr.-Arab. I 4921,RNL,,,,
990001565810205171,,Yevr.-Arab. I 4927,RNL,,,,
990001567390205171,,Yevr. II B 213,RNL,,,,מקרא [טקסט]
990001568170205171,,Yevr. II B 294,RNL,,,,מקרא [טקסט]
990001568580205171,,Yevr. II B 336,RNL,,,,מקרא [טקסט]
990001568590205171,,Yevr. II B 337,RNL,,,,מקרא [טקסט]
990001568610205171,,Yevr. II B 339,RNL,,,,מקרא [טקסט]
990001573240205171,,Yevr. II B 752,RNL,,,,מקרא [טקסט]
990001576070205171,,Yevr. II B 1032,RNL,,,,מקרא [טקסט]
990001577860205171,,Yevr. II B 1203,RNL,,,,מקרא [טקסט]
990001582970205171,,Yevr. II B 1527,RNL,,,,מקרא [טקסט]
990001583940205171,,Yevr. II C 44,RNL,,,,מקרא [טקסט]
990001583960205171,,Yevr. II C 46,RNL,,,,מקרא [טקסט]
990001584070205171,,Yevr. II C 58,RNL,,,,
990001584250205171,,Yevr. II C 82,RNL,,,,מקרא [טקסט]
990001587060205171,,Yevr. II C 325,RNL,,,,מקרא [טקסט]
990001590790205171,,Yevr. II K 1,RNL,,,,
990001590830205171,,Yevr. II K 6,RNL,,,,
990001591310205171,,Yevr. II K 59,RNL,,,,
990001591550205171,,Yevr. IV 12,RNL,,,,
990001591560205171,,Yevr. IV 13,RNL,,,,
990001592170205171,,Yevr. IV 91,RNL,,,,
990001592340205171,,Yevr. IV 113,RNL,,,,
990001592370205171,,Yevr. IV 117,RNL,,,,שרח אלמקדמאת
990001592380205171,,Yevr. IV 118,RNL,,,,
990001592390205171,,Yevr. IV 119,RNL,,,,
990001592400205171,,Yevr. IV 120,RNL,,,,
990001592410205171,,Yevr. IV 121,RNL,,,,
990001592420205171,,Yevr. IV 122,RNL,,,,
990001592430205171,,Yevr. IV 123,RNL,,,,
990001592440205171,,Yevr. IV 124,RNL,,,,
990001592450205171,,Yevr. IV 125,RNL,,,,
990001592460205171,,Yevr. IV 126,RNL,,,,
990001592490205171,,Yevr. IV 127,RNL,,,,
990001592500205171,,Yevr. IV 128,RNL,,,,
