Volume ID,Main Shelfmark,Internal Parts,URL
21,MS. Heb. c. 1,MS. Heb. c. 1/1 | MS. Heb. c. 1/2 | MS. Heb. c. 1/3 | MS. Heb. c. 1/4 | MS. Heb. c. 1/5 | MS. Heb. c. 1/6 | MS. Heb. c. 1/7 | MS. Heb. c. 1/8 | MS. Heb. c. 1/9 | MS. Heb. c. 1/10 | MS. Heb. c. 1/11 | MS. Heb. c. 1/12 | MS. Heb. c. 1/13 | MS. Heb. c. 1/14 | MS. Heb. c. 1/15 | MS. Heb. c. 1/16 | MS. Heb. c. 1/17 | MS. Heb. c. 1/18,https://hebrew.bodleian.ox.ac.uk/catalog/volume_21
22,MS. Heb. c. 10,MS. Heb. c. 10/1 | MS. Heb. c. 10/2 | MS. Heb. c. 10/3 | MS. Heb. c. 10/4 | MS. Heb. c. 10/5 | MS. Heb. c. 10/6 | MS. Heb. c. 10/7,https://hebrew.bodleian.ox.ac.uk/catalog/volume_22
23,MS. Heb. c. 11,Single Part,https://hebrew.bodleian.ox.ac.uk/catalog/volume_23
24,MS. Heb. c. 12,MS. Heb. c. 12/A | MS. Heb. c. 12/B | MS. Heb. c. 12/C | MS. Heb. c. 12/D | MS. Heb. c. 12/E,https://hebrew.bodleian.ox.ac.uk/catalog/volume_24
25,MS. Heb. c. 13,"MS. Heb. c. 13/1 | MS. Heb. c. 13/2 | MS. Heb. c. 13/3 | MS. Heb. c. 13/4 | MS. Heb. c. 13/5 | MS. Heb. c. 13/6 | MS. Heb. c. 13/7 | MS. Heb. c. 13/8 | MS. Heb. c. 13/9 | MS. Heb. c. 13/10 | MS. Heb. c. 13/11 | MS. Heb. c. 13/12 | MS. Heb. c. 13/13 | MS. Heb. c. 13/14 | MS. Heb. c. 13/15 | MS. Heb. c. 13/16 | MS. Heb. c. 13/17a,b | MS. Heb. c. 13/17c,d | MS. Heb. c. 13/18 | MS. Heb. c. 13/19 | MS. Heb. c. 13/20",https://hebrew.bodleian.ox.ac.uk/catalog/volume_25
26,MS. Heb. c. 14 (R),Single Part,https://hebrew.bodleian.ox.ac.uk/catalog/volume_26
27,MS. Heb. c. 16,MS. Heb. c. 16/1 | MS. Heb. c. 16/2 | MS. Heb. c. 16/3 | MS. Heb. c. 16/4 | MS. Heb. c. 16/5 | MS. Heb. c. 16/6 | MS. Heb. c. 16/7 | MS. Heb. c. 16/8 | MS. Heb. c. 16/9 | MS. Heb. c. 16/10 | MS. Heb. c. 16/11 | MS. Heb. c. 16/12 | MS. Heb. c. 16/13 | MS. Heb. c. 16/14 | MS. Heb. c. 16/15 | MS. Heb. c. 16/16 | MS. Heb. c. 16/17 | MS. Heb. c. 16/18 | MS. Heb. c. 16/19 | MS. Heb. c. 16/20 | MS. Heb. c. 16/21 | MS. Heb. c. 16/22 | MS. Heb. c. 16/23 | MS. Heb. c. 16/24 | MS. Heb. c. 16/25 | MS. Heb. c. 16/26 | MS. Heb. c. 16/27 | MS. Heb. c. 16/28,https://hebrew.bodleian.ox.ac.uk/catalog/volume_27
28,MS. Heb. c. 17,MS. Heb. c. 17/1 | MS. Heb. c. 17/2 | MS. Heb. c. 17/3 | MS. Heb. c. 17/4 | MS. Heb. c. 17/5 | MS. Heb. c. 17/6 | MS. Heb. c. 17/7 | MS. Heb. c. 17/8 | MS. Heb. c. 17/9 | MS. Heb. c. 17/10 | MS. Heb. c. 17/11 | MS. Heb. c. 17/12 | MS. Heb. c. 17/13 | MS. Heb. c. 17/14 | MS. Heb. c. 17/15 | MS. Heb. c. 17/16 | MS. Heb. c. 17/17 | MS. Heb. c. 17/18 | MS. Heb. c. 17/19 | MS. Heb. c. 17/20 | MS. Heb. c. 17/21 | MS. Heb. c. 17/22 | MS. Heb. c. 17/23 | MS. Heb. c. 17/24 | MS. Heb. c. 17/25 | MS. Heb. c. 17/26 | MS. Heb. c. 17/27 | MS. Heb. c. 17/28 | MS. Heb. c. 17/29 | MS. Heb. c. 17/30 | MS. Heb. c. 17/31 | MS. Heb. c. 17/32 | MS. Heb. c. 17/33,https://hebrew.bodleian.ox.ac.uk/catalog/volume_28
29,MS. Heb. c. 18,MS. Heb. c. 18/1 | MS. Heb. c. 18/2 | MS. Heb. c. 18/3 | MS. Heb. c. 18/4 | MS. Heb. c. 18/5 | MS. Heb. c. 18/6 | MS. Heb. c. 18/7 | MS. Heb. c. 18/8 | MS. Heb. c. 18/9 | MS. Heb. c. 18/10 | MS. Heb. c. 18/11 | MS. Heb. c. 18/12 | MS. Heb. c. 18/13 | MS. Heb. c. 18/14 | MS. Heb. c. 18/15 | MS. Heb. c. 18/16 | MS. Heb. c. 18/17 | MS. Heb. c. 18/18 | MS. Heb. c. 18/19 | MS. Heb. c. 18/20 | MS. Heb. c. 18/21 | MS. Heb. c. 18/22 | MS. Heb. c. 18/23 | MS. Heb. c. 18/24,https://hebrew.bodleian.ox.ac.uk/catalog/volume_29
30,MS. Heb. c. 19,MS. Heb. c. 19/1 | MS. Heb. c. 19/2 | MS. Heb. c. 19/3 | MS. Heb. c. 19/4 | MS. Heb. c. 19/5 | MS. Heb. c. 19/6 | MS. Heb. c. 19/7 | MS. Heb. c. 19/8 | MS. Heb. c. 19/9 | MS. Heb. c. 19/10 | MS. Heb. c. 19/11 | MS. Heb. c. 19/12 | MS. Heb. c. 19/13 | MS. Heb. c. 19/14 | MS. Heb. c. 19/15 | MS. Heb. c. 19/16 | MS. Heb. c. 19/17 | MS. Heb. c. 19/18 | MS. Heb. c. 19/19 | MS. Heb. c. 19/20 | MS. Heb. c. 19/21 | MS. Heb. c. 19/22 | MS. Heb. c. 19/23 | MS. Heb. c. 19/24 | MS. Heb. c. 19/25 | MS. Heb. c. 19/26 | MS. Heb. c. 19/27 | MS. Heb. c. 19/28 | MS. Heb. c. 19/29 | MS. Heb. c. 19/30 | MS. Heb. c. 19/31 | MS. Heb. c. 19/32 | MS. Heb. c. 19/33,https://hebrew.bodleian.ox.ac.uk/catalog/volume_30
31,MS. Heb. c. 20,MS. Heb. c. 20/A | MS. Heb. c. 20/B | MS. Heb. c. 20/C | MS. Heb. c. 20/D | MS. Heb. c. 20/E | MS. Heb. c. 20/F | MS. Heb. c. 20/G | MS. Heb. c. 20/H | MS. Heb. c. 20/I | MS. Heb. c. 20/K | MS. Heb. c. 20/L | MS. Heb. c. 20/M | MS. Heb. c. 20/N | MS. Heb. c. 20/O | MS. Heb. c. 20/P | MS. Heb. c. 20/Q | MS. Heb. c. 20/R | MS. Heb. c. 20/S | MS. Heb. c. 20/T,https://hebrew.bodleian.ox.ac.uk/catalog/volume_31
32,MS. Heb. c. 21,MS. Heb. c. 21/1 | MS. Heb. c. 21/2 | MS. Heb. c. 21/3 | MS. Heb. c. 21/4 | MS. Heb. c. 21/5 | MS. Heb. c. 21/6 | MS. Heb. c. 21/7 | MS. Heb. c. 21/8 | MS. Heb. c. 21/9 | MS. Heb. c. 21/10 | MS. Heb. c. 21/11 | MS. Heb. c. 21/12 | MS. Heb. c. 21/13 | MS. Heb. c. 21/14 | MS. Heb. c. 21/15 | MS. Heb. c. 21/16,https://hebrew.bodleian.ox.ac.uk/catalog/volume_32
