System ID,Shelfmark Text,Issue,Details
990053459740205171,"MS heb. e.115/8 | Ms. heb. e. 115.8 | The Bodleian Libraries, University of Oxford Ms. heb. e. 115.8",NO_ID_LINKED,Field is empty
990053430660205171,"MS heb. e.35/1 | Ms. heb. e. 35.1 | The Bodleian Libraries, University of Oxford Ms. heb. e. 35.1",NO_ID_LINKED,Field is empty
990053476480205171,"MS heb. f.52/9 | Ms. heb. f. 52.9 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.9",NO_ID_LINKED,Field is empty
990053461350205171,"MS heb. f.7/63 | Ms. heb. f. 7.63 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.63",NO_ID_LINKED,Field is empty
990053477920205171,"MS heb. f.53/58 | Ms. heb. f. 53.58 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.58",NO_ID_LINKED,Field is empty
990053461710205171,"MS heb. f.7/99 | Ms. heb. f. 7.99 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.99",NO_ID_LINKED,Field is empty
990053461990205171,"MS heb. f.7*/14 | Ms. heb. f. 7*.14 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7*.14",NO_ID_LINKED,Field is empty
997008739665805171,"MS Heb. c.72/3 | Ms. heb. c. 72.3 | The Bodleian Libraries, University of Oxford Ms. heb. c. 72.3",NO_ID_LINKED,Field is empty
990053462160205171,"MS heb. f.7*/31 | Ms. heb. f. 7*.31 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7*.31",NO_ID_LINKED,Field is empty
990053476840205171,"MS heb. f.52/45 | Ms. heb. f. 52.45 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.45",NO_ID_LINKED,Field is empty
997008739658605171,"MS Heb. C.64/4 | Ms. heb. c. 64.4 | The Bodleian Libraries, University of Oxford Ms. heb. c. 64.4",NO_ID_LINKED,Field is empty
997008739657705171,"MS Heb. C.64/13 | Ms. heb. c. 64.13 | The Bodleian Libraries, University of Oxford Ms. heb. c. 64.13",NO_ID_LINKED,Field is empty
990053477010205171,"MS heb. f.52/62 | Ms. heb. f. 52.62 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.62",NO_ID_LINKED,Field is empty
990053476930205171,"MS heb. f.52/54 | Ms. heb. f. 52.54 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.54",NO_ID_LINKED,Field is empty
990053477100205171,"MS heb. f.52/71 | Ms. heb. f. 52.71 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.71",NO_ID_LINKED,Field is empty
990053478280205171,"MS heb. f.53/94 | Ms. heb. f. 53.94 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.94",NO_ID_LINKED,Field is empty
990053461170205171,"MS heb. f.7/45 | Ms. heb. f. 7.45 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.45",NO_ID_LINKED,Field is empty
990053477470205171,"MS heb. f.53/13 | Ms. heb. f. 53.13 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.13",NO_ID_LINKED,Field is empty
990053460450205171,"MS heb. f.3/20 | Ms. heb. f. 3.20 | The Bodleian Libraries, University of Oxford Ms. heb. f. 3.20",NO_ID_LINKED,Field is empty
990053459830205171,"MS heb. e.115/17 | Ms. heb. e. 115.17 | The Bodleian Libraries, University of Oxford Ms. heb. e. 115.17",NO_ID_LINKED,Field is empty
